Activity,time,seconds_elapsed,dBFS
Classroom,1.78E+18,32.76199976,-47.96330771
Classroom,1.78E+18,32.877,-38.64475814
Classroom,1.78E+18,32.993,-39.2553693
Classroom,1.78E+18,33.108,-43.65996442
Classroom,1.78E+18,33.224,-35.51728673
Classroom,1.78E+18,33.339,-34.76019718
Classroom,1.78E+18,33.45400024,-33.15002833
Classroom,1.78E+18,33.56999976,-37.09142406
Classroom,1.78E+18,33.685,-34.02378171
Classroom,1.78E+18,33.8,-29.98478655
Classroom,1.78E+18,33.916,-34.33572071
Classroom,1.78E+18,34.031,-42.70450879
Classroom,1.78E+18,34.14599976,-45.01237716
Classroom,1.78E+18,34.26200024,-38.64475814
Classroom,1.78E+18,34.37799976,-40.45352584
Classroom,1.78E+18,34.493,-46.06498153
Classroom,1.78E+18,34.609,-47.63795546
Classroom,1.78E+18,34.724,-38.31107218
Classroom,1.78E+18,34.85400024,-37.90601252
Classroom,1.78E+18,34.959,-39.57756477
Classroom,1.78E+18,35.07399976,-43.53960375
Classroom,1.78E+18,35.189,-20.54336131
Classroom,1.78E+18,35.305,-14.80380843
Classroom,1.78E+18,35.42,-21.57594099
Classroom,1.78E+18,35.535,-32.63550492
Classroom,1.78E+18,35.651,-35.62874789
Classroom,1.78E+18,35.76600024,-45.95905474
Classroom,1.78E+18,35.88,-44.82557664
Classroom,1.78E+18,35.995,-47.02167651
Classroom,1.78E+18,36.11000024,-47.26296674
Classroom,1.78E+18,36.225,-47.57432228
Classroom,1.78E+18,36.34,-48.7251087
Classroom,1.78E+18,36.455,-48.51063139
Classroom,1.78E+18,36.571,-46.67186186
Classroom,1.78E+18,36.68600024,-46.90349931
Classroom,1.78E+18,36.80199976,-46.22633397
Classroom,1.78E+18,36.917,-44.96529905
Classroom,1.78E+18,37.032,-45.80254799
Classroom,1.78E+18,37.148,-31.87500411
Classroom,1.78E+18,37.264,-27.87097392
Classroom,1.78E+18,37.38,-30.86467686
Classroom,1.78E+18,37.496,-35.02521098
Classroom,1.78E+18,37.611,-36.70202335
Classroom,1.78E+18,37.72600024,-30.24814421
Classroom,1.78E+18,37.843,-26.46854177
Classroom,1.78E+18,37.956,-25.87523368
Classroom,1.78E+18,38.072,-25.1647651
Classroom,1.78E+18,38.188,-26.40181246
Classroom,1.78E+18,38.303,-37.70017612
