Activity,time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
Classroom,1.77575E+18,216.4358999,-0.335763454,0.3167454,-0.817326009,0.344838411,-2.589764357,0.888923645,-2.670222759
Classroom,1.77575E+18,218.5283921,-0.335528046,0.316613197,-0.817497909,0.344781667,-2.590284824,0.888587296,-2.670268297
Classroom,1.77575E+18,220.6204573,-0.335000724,0.3151972,-0.818010569,0.34537518,-2.590078354,0.888653755,-2.673829794
Classroom,1.77575E+18,222.7130713,-0.335282594,0.315321088,-0.817886949,0.345281184,-2.589396715,0.888688028,-2.673820734
Classroom,1.77575E+18,224.8055637,-0.33501479,0.315157503,-0.81796217,0.345512152,-2.58999753,0.888927996,-2.674009085
Classroom,1.77575E+18,226.8976423,-0.335057676,0.315288424,-0.817918181,0.345455199,-2.59003377,0.888914108,-2.673671007
Classroom,1.77575E+18,228.9899199,-0.334997982,0.314553797,-0.818275571,0.345336825,-2.589259386,0.888158083,-2.675661564
Classroom,1.77575E+18,231.0822283,-0.334865928,0.312603205,-0.818609357,0.346443117,-2.587236166,0.889192939,-2.681466579
Classroom,1.77575E+18,233.1747808,-0.334322274,0.311930895,-0.818986714,0.3466824,-2.588000298,0.888976991,-2.682746887
Classroom,1.77575E+18,235.2668142,-0.33487159,0.313169092,-0.818433285,0.346342713,-2.587937117,0.889345586,-2.679814577
Classroom,1.77575E+18,237.358356,-0.333387643,0.315210223,-0.818604767,0.345516294,-2.594867468,0.888072252,-2.671675444
Classroom,1.77575E+18,239.4504504,-0.335403174,0.31747368,-0.817308068,0.344561815,-2.591736555,0.888599694,-2.66755271
Classroom,1.77575E+18,241.5424229,-0.335105211,0.317946166,-0.817411721,0.344169796,-2.593181849,0.887899041,-2.665667057
Classroom,1.77575E+18,243.6343955,-0.336895764,0.31561783,-0.817213595,0.345034301,-2.584988356,0.889241397,-2.675053835
Classroom,1.77575E+18,245.7263372,-0.335819721,0.316591948,-0.817534566,0.34442997,-2.58936429,0.887985826,-2.670603037
Classroom,1.77575E+18,247.8185605,-0.335701257,0.316460758,-0.817522764,0.344693899,-2.589570045,0.888398588,-2.670909643
Classroom,1.77575E+18,249.9107478,-0.335716397,0.316493303,-0.817521155,0.344653219,-2.58956337,0.888341129,-2.670822859
Classroom,1.77575E+18,252.0030574,-0.335391998,0.315492153,-0.817892432,0.345005721,-2.5892694,0.888270795,-2.673382998
Classroom,1.77575E+18,254.0951533,-0.334579021,0.313537389,-0.81853044,0.346062511,-2.589253426,0.888824761,-2.678265572
Classroom,1.77575E+18,256.1873713,-0.334668368,0.313246369,-0.818571687,0.346141815,-2.588622332,0.888855875,-2.67924881
Classroom,1.77575E+18,258.2797112,-0.335021466,0.314016074,-0.818265498,0.345826656,-2.588540316,0.888870418,-2.677405119
Classroom,1.77575E+18,260.3719292,-0.335103452,0.314248174,-0.818230867,0.345618397,-2.588579178,0.888620198,-2.676777363
Classroom,1.77575E+18,262.464208,-0.335188478,0.314466387,-0.818144917,0.34554106,-2.588601351,0.888642073,-2.676238537
Classroom,1.77575E+18,264.5565481,-0.336624146,0.317357063,-0.81696099,0.344301522,-2.587958574,0.888650954,-2.669439554
Classroom,1.77575E+18,266.6486135,-0.337413996,0.319146812,-0.81624043,0.343582183,-2.587853909,0.888712227,-2.665111065
Classroom,1.77575E+18,268.7404346,-0.33743155,0.319201291,-0.816220343,0.343562186,-2.587870121,0.888714552,-2.664971113
Classroom,1.77575E+18,270.8325129,-0.337437809,0.319086432,-0.816302776,0.34346664,-2.587694645,0.88844043,-2.665278435
Classroom,1.77575E+18,272.924395,-0.337277621,0.318984807,-0.816339135,0.343631923,-2.588053226,0.888637245,-2.665410757
Classroom,1.77575E+18,275.0163074,-0.337347478,0.319243282,-0.81629318,0.343432546,-2.588159323,0.888418138,-2.664694786
Classroom,1.77575E+18,277.1077927,-0.336769581,0.317743361,-0.816805422,0.34417206,-2.588012457,0.888704717,-2.668480635
Classroom,1.77575E+18,279.1992778,-0.336756676,0.317929804,-0.816835403,0.343941212,-2.588267803,0.888325512,-2.667849779
Classroom,1.77575E+18,281.2911902,-0.337124646,0.318862647,-0.816509545,0.34349072,-2.58833456,0.888171852,-2.665510893
Classroom,1.77575E+18,283.3832554,-0.336713463,0.31819585,-0.816925168,0.343524009,-2.58869648,0.887583435,-2.666888714
Classroom,1.77575E+18,285.4753203,-0.336471975,0.317920089,-0.817108274,0.343580574,-2.58906126,0.887391806,-2.667377234
Classroom,1.77575E+18,287.5671414,-0.336334199,0.317608356,-0.817193747,0.343800455,-2.589089632,0.887583137,-2.668161392
Classroom,1.77575E+18,289.6593894,-0.335615069,0.317115903,-0.817496538,0.344237655,-2.590621233,0.887797952,-2.668759108
Classroom,1.77575E+18,291.7513547,-0.335845292,0.314898431,-0.817792177,0.345344484,-2.587197542,0.888860941,-2.675813198
Classroom,1.77575E+18,293.8436948,-0.334939301,0.313255072,-0.818688989,0.345594198,-2.587792397,0.887841225,-2.67939806
Classroom,1.77575E+18,295.9359434,-0.335123062,0.314353317,-0.818352878,0.345214665,-2.588623762,0.887837648,-2.676362991
Classroom,1.77575E+18,298.0282834,-0.335111201,0.314413726,-0.818225861,0.345472187,-2.588756561,0.888419092,-2.676261902
Classroom,1.77575E+18,300.1202268,-0.334978163,0.31462428,-0.818202317,0.345464975,-2.589418411,0.888465583,-2.675476074
Classroom,1.77575E+18,302.2126377,-0.335077256,0.314581037,-0.818145394,0.345543295,-2.589076996,0.888659358,-2.675760269
Classroom,1.77575E+18,304.3048855,-0.335465372,0.315065682,-0.818007052,0.345052272,-2.588510752,0.888136685,-2.674722195
Classroom,1.77575E+18,306.3972859,-0.334736109,0.314899087,-0.818454146,0.344852358,-2.590432882,0.887202442,-2.674154758
Classroom,1.77575E+18,308.4895032,-0.335464656,0.316281289,-0.817751288,0.344546735,-2.59002471,0.887838483,-2.671058893
Classroom,1.77575E+18,310.5817815,-0.335335076,0.316044062,-0.817869246,0.34461081,-2.590109348,0.8877514,-2.671588421
Classroom,1.77575E+18,312.6737546,-0.336342961,0.318419993,-0.816907465,0.34372139,-2.59009552,0.887940407,-2.665813684
Classroom,1.77575E+18,314.7659353,-0.336029261,0.317562759,-0.817198634,0.344128788,-2.589961767,0.88808322,-2.66799283
Classroom,1.77575E+18,316.8578486,-0.335664302,0.316645503,-0.81754756,0.344501317,-2.589898109,0.888085961,-2.670264721
Classroom,1.77575E+18,318.9499446,-0.335438877,0.316075087,-0.817814767,0.344610423,-2.589842796,0.887827814,-2.67163825
Classroom,1.77575E+18,321.0421626,-0.334529757,0.314285576,-0.818586528,0.345297813,-2.590295076,0.887646139,-2.675789833
Classroom,1.77575E+18,323.1343503,-0.335383952,0.315305263,-0.818046868,0.344818354,-2.589038134,0.887747169,-2.67384553
Classroom,1.77575E+18,325.2262632,-0.33571586,0.316775799,-0.817597866,0.344211876,-2.589886189,0.887581348,-2.669862986
Classroom,1.77575E+18,327.3182375,-0.335515946,0.316483825,-0.817735016,0.344349563,-2.590114832,0.88757664,-2.670480013
Classroom,1.77575E+18,329.410364,-0.335399359,0.316477239,-0.817787051,0.344345629,-2.59044981,0.887499213,-2.67034173
Classroom,1.77575E+18,331.5027041,-0.335929871,0.317661524,-0.817332506,0.343816817,-2.590351105,0.887426317,-2.667473316
Classroom,1.77575E+18,333.5953191,-0.336482882,0.319246262,-0.816770434,0.343143404,-2.590682745,0.887317479,-2.663436174
Classroom,1.77575E+18,335.6876255,-0.334970683,0.317139357,-0.817752182,0.344236344,-2.592550278,0.887450874,-2.667829514
